Defense,Cluster_Mode
Adam Pardy,3
Jay Leach,2
Jaroslav Spacek,0
Kyle Quincey,0
Tyson Strachan,5
Nick Schultz,1
Jeff Finger,1
Tomas Kaberle,0
Andreas Lilja,3
Darryl Sydor,3
Mike Weaver,1
Andrej Meszaros,4
Ryan Parent,2
Tom Gilbert,1
Rostislav Klesla,2
Yannick Weber,3
Shawn Belle,5
Niklas Kronwall,0
Steve Staios,4
Josh Gorges,1
Adrian Aucoin,1
Chris Phillips,1
John Erskine,2
Jeff Penner,5
Alec Martinez,4
Mark Fistric,2
Mike Mottau,2
Ladislav Smid,3
Brad Lukowich,5
Joe Corvo,0
Peter Harrold,2
Shaone Morrisonn,4
Anssi Salmela,2
Ruslan Salei,4
Willie Mitchell,1
Mark Eaton,2
Steve Eminger,2
Nicklas Lidstrom,0
Maxim Noreau,5
Alex Plante,5
Matt Niskanen,1
Denis Grebeshkov,1
P.K. Subban,0
Nolan Baumgartner,5
Dustin Byfuglien,0
Trevor Daley,1
Bryan Rodney,5
Brett Festerling,2
Luca Sbisa,2
Matt Smaby,2
Jason Garrison,4
Zbynek Michalek,4
Nate Prosser,5
Alexandre Picard,3
Matt Hunwick,3
Robyn Regehr,1
Jay McKee,3
Brendan Witt,1
Vladimir Mihalik,5
Sami Salo,4
Dennis Wideman,0
Anton Klementyev,5
Jeff Woywitka,2
Mathieu Carle,5
Andrei Markov,0
Duncan Keith,0
Grant Clitsome,2
Milan Jurcina,3
Ryan O'Byrne,3
Zdeno Chara,0
Karl Alzner,1
Ilkka Heikkinen,5
Filip Kuba,1
Johnny Oduya,1
Chris Chelios,2
Danny Syvret,5
Shane Hnidy,3
Marc-Edouard Vlasic,1
Ron Hainsey,1
Justin Falk,5
Matt Carle,1
Tim Conboy,5
Brian Pothier,4
Carlo Colaiacovo,4
David Schlemko,3
Sean O'Donnell,4
Ryan Suter,0
Derek Meech,2
Cody Franson,3
Bryce Salvador,4
Tyler Myers,1
Brendan Mikkelson,2
Mark Stuart,3
Jordan Leopold,1
Toni Lydman,1
Derek Joslin,2
Kimmo Timonen,0
Carl Gunnarsson,3
Dennis Seidenberg,1
Ole-Kristian Tollefsen,5
Doug Janik,5
Chris Campoli,4
Jan Hejda,1
Sergei Gonchar,1
Marc-Andre Bergeron,2
Adam McQuaid,3
Anders Eriksson,5
Andrew Ference,3
Andy Wozniewski,5
Derek Smith,5
Jason Strudwick,2
Dmitry Kulikov,1
Arturs Kulda,5
Brian Lee,3
Bobby Sanguinetti,5
Chris Pronger,0
Christoph Schubert,3
Joe Callahan,5
Roman Hamrlik,1
Teemu Laakso,5
David Hale,2
John Carlson,0
Rob Blake,0
Jaime Sifers,2
Boris Valabik,2
Randy Jones,3
Cam Barker,4
John-Michael Liles,0
Aaron Johnson,2
Kurt Sauer,4
Ben Lovejoy,4
Theo Peckham,5
Drew Doughty,0
Paul Ranger,3
Bryan McCabe,0
Rob Davison,5
Derek Peltier,5
Greg Zanon,1
Jeff Schultz,4
Cory Sarich,3
Sami Lepisto,4
Brett Lebda,2
Brent Burns,0
Colin White,4
Erik Johnson,4
Kris Letang,0
Martin Skoula,1
Ian White,0
