Goalie,Cluster_Mode
Justin Peters,1
Kari Lehtonen,4
Curtis McElhinney,1
Ryan Miller,4
Vesa Toskala,1
Johan Backlund,1
Brian Elliott,2
Antero Niittymaki,1
Cam Ward,4
Tomas Vokoun,4
Jonas Gustavsson,1
Erik Ersberg,1
Roberto Luongo,4
Devan Dubnyk,4
Yann Danis,1
Mike Smith,4
Brent Johnson,1
Joey MacDonald,1
Jeremy Duchesne,1
Steve Mason,4
Jose Theodore,4
Alex Auld,1
Josh Harding,1
Ondrej Pavelec,4
Nikolai Khabibulin,1
Ray Emery,1
Cory Schneider,1
Marty Turco,1
Cristobal Huet,4
Michal Neuvirth,1
Jhonas Enroth,1
Pascal Leclaire,1
Ty Conklin,1
Jaroslav Halak,4
Matt Climie,1
Brian Boucher,1
Patrick Lalime,1
Evgeni Nabokov,4
Tuukka Rask,4
Mathieu Garon,1
Michael Leighton,1
John Curry,1
Martin Brodeur,4
Carey Price,4
Chris Osgood,1
Henrik Lundqvist,4
Ilya Bryzgalov,4
Jonathan Quick,4
Corey Crawford,4
Dustin Tokarski,1
Manny Legace,1
Steve Valiquette,1
Scott Clemmensen,1
Mike Brodeur,1
Martin Biron,1
Wade Dubielewicz,1
Alexander Pechurskiy,1
Dan Ellis,1
Johan Hedberg,1
Miikka Kiprusoff,4
Rick DiPietro,1
Chris Mason,1
Semyon Varlamov,4
Craig Anderson,4
Thomas Greiss,1
Jean-Sebastien Giguere,1
Marc-Andre Fleury,4
Peter Budaj,1
Jimmy Howard,4
Pekka Rinne,4
Andrew Raycroft,1
Tim Thomas,4
Jonas Hiller,4
Alexander Salak,1
Jonathan Bernier,1
Anton Khudobin,1
Chad Johnson,1
Matt Zaba,1
Jason LaBarbera,1
Niklas Backstrom,4
Antti Niemi,4
Jeff Deslauriers,1
Dwayne Roloson,4
Carter Hart,3
Alex Nedeljkovic,3
Braden Holtby,4
Jacob Markstrom,1
Edward Pasquale,3
Juuse Saros,3
Jack Campbell,3
Darcy Kuemper,3
Kaden Fulcher,3
Hunter Miska,3
Joey Daccord,3
Petr Mrazek,3
Tristan Jarry,3
Scott Darling,3
Antti Raanta,3
Matt Murray,3
Alex Stalock,3
Marcus Hogberg,3
Christopher Gibson,3
Mackenzie Blackwood,3
Mike Condon,3
Sam Montembeault,3
Thatcher Demko,3
James Reimer,2
Collin Delia,3
Louis Domingue,3
Laurent Brossoit,3
Eric Comrie,3
Pavel Francouz,3
Landon Bow,3
Alexandar Georgiev,3
Michael DiPietro,3
Andrei Vasilevskiy,4
Frederik Andersen,4
Kevin Boyle,3
Anthony Stolarz,3
Mikko Koskinen,3
David Rittich,3
Jake Allen,4
Anders Nilsson,2
Connor Hellebuyck,4
Jordan Binnington,3
Alex Lyon,3
Maxime Lagace,3
Garret Sparks,3
Pheonix Copley,3
Richard Bachman,1
Philipp Grubauer,3
Calvin Pickard,3
Malcolm Subban,3
Casey DeSmith,3
Ben Bishop,4
Charlie Lindgren,3
John Gibson,4
Aaron Dell,3
Michael Hutchinson,3
Cal Petersen,3
Keith Kinkaid,3
Carter Hutton,3
Joonas Korpisalo,3
Adin Hill,3
Linus Ullmark,3
Robin Lehner,1
Martin Jones,3
Mike McKenna,1
Sergei Bobrovsky,4
Cam Talbot,3
Michael Dipietro,3
Igor Shesterkin,3
Antoine Bibeau,3
Chris Driedger,3
Gilles Senn,3
Adam Werner,3
Cayden Primeau,3
Kasimir Kaskisuo,3
