Date,Visitor,GV,Home,GH,Unnamed: 5,Att.,LOG,Notes
2008-10-04,Pittsburgh Penguins,4.0,Ottawa Senators,3.0,OT,13699.0,,NHL Premiere Series
2008-10-04,New York Rangers,2.0,Tampa Bay Lightning,1.0,,17085.0,,NHL Premiere Series
2008-10-05,Tampa Bay Lightning,1.0,New York Rangers,2.0,,17085.0,,NHL Premiere Series
2008-10-05,Ottawa Senators,3.0,Pittsburgh Penguins,1.0,,13699.0,,NHL Premiere Series
2008-10-09,Boston Bruins,5.0,Colorado Avalanche,4.0,,18007.0,,
2008-10-09,Toronto Maple Leafs,3.0,Detroit Red Wings,2.0,,20066.0,,
2008-10-09,Anaheim Ducks,1.0,San Jose Sharks,4.0,,17496.0,,
2008-10-09,Calgary Flames,0.0,Vancouver Canucks,6.0,,18630.0,,
2008-10-10,Washington Capitals,4.0,Atlanta Thrashers,7.0,,18545.0,,
2008-10-10,Montreal Canadiens,1.0,Buffalo Sabres,2.0,SO,18690.0,,
2008-10-10,Florida Panthers,4.0,Carolina Hurricanes,6.0,,18680.0,,
2008-10-10,Columbus Blue Jackets,5.0,Dallas Stars,4.0,OT,18532.0,,
2008-10-10,New York Islanders,1.0,New Jersey Devils,2.0,,16834.0,,
2008-10-10,Chicago Blackhawks,2.0,New York Rangers,4.0,,18200.0,,
2008-10-10,Nashville Predators,2.0,St. Louis Blues,5.0,,19150.0,,
2008-10-11,Vancouver Canucks,5.0,Calgary Flames,4.0,OT,19289.0,,
2008-10-11,Atlanta Thrashers,2.0,Florida Panthers,3.0,OT,18401.0,,
2008-10-11,Boston Bruins,3.0,Minnesota Wild,4.0,,18568.0,,
2008-10-11,Dallas Stars,1.0,Nashville Predators,3.0,,17113.0,,
2008-10-11,St. Louis Blues,2.0,New York Islanders,5.0,,16234.0,,
2008-10-11,Detroit Red Wings,3.0,Ottawa Senators,2.0,,20182.0,,
2008-10-11,New York Rangers,4.0,Philadelphia Flyers,3.0,,19623.0,,
2008-10-11,Columbus Blue Jackets,1.0,Phoenix Coyotes,3.0,,17125.0,,
2008-10-11,New Jersey Devils,2.0,Pittsburgh Penguins,1.0,OT,17132.0,,
2008-10-11,Los Angeles Kings,1.0,San Jose Sharks,3.0,,17496.0,,
2008-10-11,Carolina Hurricanes,4.0,Tampa Bay Lightning,3.0,OT,18552.0,,
2008-10-11,Montreal Canadiens,6.0,Toronto Maple Leafs,1.0,,19370.0,,
2008-10-11,Chicago Blackhawks,2.0,Washington Capitals,4.0,,18277.0,,
2008-10-12,Phoenix Coyotes,4.0,Anaheim Ducks,2.0,,17174.0,,
2008-10-12,Colorado Avalanche,2.0,Edmonton Oilers,3.0,,16839.0,,
2008-10-12,San Jose Sharks,1.0,Los Angeles Kings,0.0,,18118.0,,
2008-10-13,Detroit Red Wings,3.0,Carolina Hurricanes,1.0,,18680.0,,
2008-10-13,Nashville Predators,3.0,Chicago Blackhawks,2.0,SO,21712.0,,
2008-10-13,Buffalo Sabres,7.0,New York Islanders,1.0,,13523.0,,
2008-10-13,New Jersey Devils,1.0,New York Rangers,4.0,,18200.0,,
2008-10-13,Montreal Canadiens,5.0,Philadelphia Flyers,3.0,,19323.0,,
2008-10-13,St. Louis Blues,5.0,Toronto Maple Leafs,4.0,SO,19045.0,,
2008-10-13,Vancouver Canucks,1.0,Washington Capitals,5.0,,16847.0,,
2008-10-14,Minnesota Wild,4.0,Atlanta Thrashers,2.0,,11843.0,,
2008-10-14,Colorado Avalanche,4.0,Calgary Flames,5.0,,19289.0,,
2008-10-14,Anaheim Ducks,3.0,Los Angeles Kings,6.0,,14451.0,,
2008-10-14,Philadelphia Flyers,2.0,Pittsburgh Penguins,3.0,OT,16965.0,,
2008-10-14,Columbus Blue Jackets,2.0,San Jose Sharks,5.0,,17496.0,,
2008-10-15,Edmonton Oilers,3.0,Anaheim Ducks,2.0,,16604.0,,
2008-10-15,Phoenix Coyotes,1.0,Chicago Blackhawks,4.0,,20522.0,,
2008-10-15,Nashville Predators,4.0,Dallas Stars,6.0,,16899.0,,
2008-10-15,Boston Bruins,3.0,Montreal Canadiens,4.0,SO,21273.0,,
2008-10-15,Buffalo Sabres,3.0,New York Rangers,1.0,,18200.0,,
2008-10-16,New Jersey Devils,1.0,Atlanta Thrashers,0.0,,11293.0,,
2008-10-16,Philadelphia Flyers,2.0,Colorado Avalanche,5.0,,18007.0,,
2008-10-16,Vancouver Canucks,4.0,Detroit Red Wings,3.0,OT,19011.0,,
2008-10-16,Minnesota Wild,6.0,Florida Panthers,2.0,,12106.0,,
2008-10-16,Washington Capitals,4.0,Pittsburgh Penguins,3.0,,17030.0,,
2008-10-16,Dallas Stars,1.0,St. Louis Blues,6.0,,18550.0,,
2008-10-16,New York Islanders,4.0,Tampa Bay Lightning,3.0,OT,14420.0,,
2008-10-17,San Jose Sharks,0.0,Anaheim Ducks,4.0,,17174.0,,
