Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,OT
Chicago Blackhawks,20092010,22,16,6,--,32,0.727,13,16,0,78,62,3.55,2.82,22.5,83.3,20.0,87.8,31.8,29.6,50.8,
Philadelphia Flyers,20092010,23,14,9,--,28,0.609,11,14,0,76,61,3.3,2.65,21.9,85.3,20.0,86.3,28.1,29.2,47.9,
Montréal Canadiens,20092010,19,9,10,--,18,0.474,8,9,0,46,57,2.42,3.0,16.4,84.5,12.3,85.7,26.7,33.7,47.1,
San Jose Sharks,20092010,15,8,7,--,16,0.533,5,8,0,41,41,2.73,2.73,19.7,81.6,19.7,83.7,36.5,29.1,52.7,
Pittsburgh Penguins,20092010,13,7,6,--,14,0.538,6,7,0,42,38,3.23,2.92,26.3,72.1,24.6,74.4,34.2,26.6,48.6,
Boston Bruins,20092010,13,7,6,--,14,0.538,5,7,0,36,37,2.77,2.85,24.4,90.0,24.4,90.0,31.8,31.5,54.4,
Vancouver Canucks,20092010,12,6,6,--,12,0.5,5,6,0,43,41,3.58,3.42,22.0,68.5,18.0,68.5,29.8,30.9,54.1,
Detroit Red Wings,20092010,12,5,7,--,10,0.417,5,5,0,43,33,3.58,2.75,21.1,81.3,19.3,81.3,34.8,32.3,50.0,
Washington Capitals,20092010,7,3,4,--,6,0.429,2,3,0,22,20,3.14,2.86,3.0,80.0,3.0,86.7,41.7,27.7,57.1,
Phoenix Coyotes,20092010,7,3,4,--,6,0.429,3,3,0,18,26,2.57,3.71,18.2,76.5,18.2,79.4,31.6,36.7,48.3,
Buffalo Sabres,20092010,6,2,4,--,4,0.333,2,2,0,15,16,2.5,2.67,0.0,72.7,0.0,72.7,32.3,34.2,45.0,
Ottawa Senators,20092010,6,2,4,--,4,0.333,1,2,0,19,24,3.17,4.0,31.8,75.0,27.3,75.0,28.8,36.7,52.5,
Nashville Predators,20092010,6,2,4,--,4,0.333,2,2,0,15,17,2.5,2.83,3.7,82.6,0.0,87.0,27.7,30.0,47.2,
