Date,Visitor,GV,Home,GH,,Att.,LOG,Notes
2011-10-06,Philadelphia Flyers,2,Boston Bruins,1,,17565,,
2011-10-06,Montreal Canadiens,0,Toronto Maple Leafs,2,,19606,,
2011-10-06,Pittsburgh Penguins,4,Vancouver Canucks,3,SO,18860,,
2011-10-07,Anaheim Ducks,1,Buffalo Sabres,4,,13349,,NHL Premiere Series
2011-10-07,Tampa Bay Lightning,5,Carolina Hurricanes,1,,18680,,
2011-10-07,Nashville Predators,3,Columbus Blue Jackets,2,,18247,,
2011-10-07,Chicago Blackhawks,1,Dallas Stars,2,,15285,,
2011-10-07,Ottawa Senators,3,Detroit Red Wings,5,,20066,,
2011-10-07,New York Rangers,2,Los Angeles Kings,3,OT,13800,,NHL Premiere Series
2011-10-08,New York Rangers,1,Anaheim Ducks,2,SO,13800,,NHL Premiere Series
2011-10-08,Tampa Bay Lightning,1,Boston Bruins,4,,17565,,
2011-10-08,Pittsburgh Penguins,5,Calgary Flames,3,,19289,,
2011-10-08,Dallas Stars,2,Chicago Blackhawks,5,,21674,,
2011-10-08,Detroit Red Wings,3,Colorado Avalanche,0,,18007,,
2011-10-08,Buffalo Sabres,4,Los Angeles Kings,2,,14300,,NHL Premiere Series
2011-10-08,Columbus Blue Jackets,2,Minnesota Wild,4,,19040,,
2011-10-08,Philadelphia Flyers,3,New Jersey Devils,0,,17625,,
2011-10-08,Florida Panthers,2,New York Islanders,0,,16234,,
2011-10-08,Phoenix Coyotes,3,San Jose Sharks,6,,17562,,
2011-10-08,Nashville Predators,4,St. Louis Blues,2,,19150,,
2011-10-08,Ottawa Senators,5,Toronto Maple Leafs,6,,19324,,
2011-10-08,Carolina Hurricanes,3,Washington Capitals,4,OT,18506,,
2011-10-09,Pittsburgh Penguins,1,Edmonton Oilers,2,SO,16839,,
2011-10-09,Montreal Canadiens,5,Winnipeg Jets,1,,15004,,
2011-10-10,Colorado Avalanche,1,Boston Bruins,0,,17565,,
2011-10-10,Vancouver Canucks,3,Columbus Blue Jackets,2,,9187,,
2011-10-10,Phoenix Coyotes,1,Dallas Stars,2,SO,6306,,
2011-10-10,Carolina Hurricanes,2,New Jersey Devils,4,,12096,,
2011-10-10,Minnesota Wild,1,New York Islanders,2,,11278,,
2011-10-10,Calgary Flames,2,St. Louis Blues,5,,19150,,
2011-10-10,Tampa Bay Lightning,5,Washington Capitals,6,SO,18506,,
2011-10-11,Minnesota Wild,3,Ottawa Senators,4,SO,19455,,
2011-10-11,Florida Panthers,2,Pittsburgh Penguins,4,,18503,,
2011-10-12,Boston Bruins,2,Carolina Hurricanes,3,,16483,,
2011-10-12,Colorado Avalanche,3,Columbus Blue Jackets,2,SO,8986,,
2011-10-12,Vancouver Canucks,4,Philadelphia Flyers,5,,19632,,
2011-10-13,Winnipeg Jets,3,Chicago Blackhawks,4,,21175,,
2011-10-13,St. Louis Blues,2,Dallas Stars,3,,7949,,
2011-10-13,Vancouver Canucks,0,Detroit Red Wings,2,,20066,,
2011-10-13,Edmonton Oilers,1,Minnesota Wild,2,SO,15878,,
2011-10-13,Calgary Flames,4,Montreal Canadiens,1,,21273,,
2011-10-13,Los Angeles Kings,1,New Jersey Devils,2,SO,12256,,
2011-10-13,Phoenix Coyotes,5,Nashville Predators,2,,17113,,
2011-10-13,Tampa Bay Lightning,1,New York Islanders,5,,9759,,
2011-10-13,Colorado Avalanche,7,Ottawa Senators,1,,19239,,
2011-10-13,Washington Capitals,3,Pittsburgh Penguins,2,OT,18512,,
2011-10-14,San Jose Sharks,0,Anaheim Ducks,1,,17243,,
2011-10-14,Carolina Hurricanes,4,Buffalo Sabres,3,,18690,,
2011-10-15,Boston Bruins,3,Chicago Blackhawks,2,SO,22073,,
2011-10-15,Columbus Blue Jackets,2,Dallas Stars,4,,8305,,
2011-10-15,Vancouver Canucks,4,Edmonton Oilers,3,,16839,,
2011-10-15,Tampa Bay Lightning,2,Florida Panthers,3,SO,18352,,
2011-10-15,Detroit Red Wings,3,Minnesota Wild,2,OT,17104,,
2011-10-15,Colorado Avalanche,6,Montreal Canadiens,5,SO,21273,,
2011-10-15,New Jersey Devils,3,Nashville Predators,2,SO,17113,,
2011-10-15,New York Rangers,2,New York Islanders,4,,16234,,
2011-10-15,Los Angeles Kings,3,Philadelphia Flyers,2,OT,19644,,
2011-10-15,Winnipeg Jets,1,Phoenix Coyotes,4,,17132,,
2011-10-15,Buffalo Sabres,3,Pittsburgh Penguins,2,,18562,,
2011-10-15,St. Louis Blues,4,San Jose Sharks,2,,17562,,
2011-10-15,Calgary Flames,2,Toronto Maple Leafs,3,,19410,,
2011-10-15,Ottawa Senators,1,Washington Capitals,2,,18506,,
2011-10-16,St. Louis Blues,2,Anaheim Ducks,4,,14555,,
2011-10-17,Nashville Predators,1,Edmonton Oilers,3,,16839,,
2011-10-17,Anaheim Ducks,3,San Jose Sharks,2,,17562,,
2011-10-17,Florida Panthers,7,Tampa Bay Lightning,4,,19204,,
2011-10-17,Colorado Avalanche,3,Toronto Maple Leafs,2,OT,19359,,
2011-10-17,Pittsburgh Penguins,1,Winnipeg Jets,2,,15004,,
2011-10-18,Carolina Hurricanes,4,Boston Bruins,1,,17565,,
2011-10-18,Dallas Stars,3,Columbus Blue Jackets,2,,9158,,
2011-10-18,Edmonton Oilers,1,Calgary Flames,2,,19289,,
2011-10-18,St. Louis Blues,0,Los Angeles Kings,5,,18118,,
2011-10-18,Pittsburgh Penguins,4,Minnesota Wild,2,,17297,,
2011-10-18,Buffalo Sabres,3,Montreal Canadiens,1,,21273,,
2011-10-18,Philadelphia Flyers,7,Ottawa Senators,2,,18059,,
2011-10-18,Chicago Blackhawks,5,Phoenix Coyotes,2,,11051,,
2011-10-18,New York Rangers,4,Vancouver Canucks,0,,18860,,
2011-10-18,Florida Panthers,0,Washington Capitals,3,,18506,,
2011-10-19,Winnipeg Jets,3,Toronto Maple Leafs,4,SO,19514,,
2011-10-20,Toronto Maple Leafs,2,Boston Bruins,6,,17565,,
2011-10-20,New York Rangers,3,Calgary Flames,2,OT,19289,,
2011-10-20,Chicago Blackhawks,3,Colorado Avalanche,1,,17523,,
2011-10-20,Minnesota Wild,2,Edmonton Oilers,1,SO,16839,,
2011-10-20,Buffalo Sabres,3,Florida Panthers,0,,14811,,
2011-10-20,Winnipeg Jets,1,Ottawa Senators,4,,17919,,
2011-10-20,Washington Capitals,5,Philadelphia Flyers,2,,19658,,
2011-10-20,Los Angeles Kings,2,Phoenix Coyotes,0,,7128,,
2011-10-20,Montreal Canadiens,1,Pittsburgh Penguins,3,,18403,,
2011-10-20,New York Islanders,1,Tampa Bay Lightning,4,,18181,,
2011-10-20,Nashville Predators,1,Vancouver Canucks,5,,18860,,
2011-10-21,Dallas Stars,3,Anaheim Ducks,1,,12919,,
2011-10-21,Columbus Blue Jackets,2,Detroit Red Wings,5,,20066,,
2011-10-21,San Jose Sharks,4,New Jersey Devils,3,SO,14319,,
2011-10-21,Carolina Hurricanes,2,St. Louis Blues,3,OT,19150,,
2011-10-22,San Jose Sharks,4,Boston Bruins,2,,17565,,
2011-10-22,Nashville Predators,2,Calgary Flames,0,,19289,,
2011-10-22,Colorado Avalanche,5,Chicago Blackhawks,4,SO,21328,,
2011-10-22,New York Rangers,0,Edmonton Oilers,2,,16839,,
2011-10-22,New York Islanders,2,Florida Panthers,4,,15411,,
2011-10-22,Dallas Stars,0,Los Angeles Kings,1,,18118,,
2011-10-22,Toronto Maple Leafs,5,Montreal Canadiens,4,OT,21273,,
2011-10-22,Columbus Blue Jackets,3,Ottawa Senators,4,,18867,,
2011-10-22,St. Louis Blues,4,Philadelphia Flyers,2,,19593,,
2011-10-22,New Jersey Devils,1,Pittsburgh Penguins,4,,18535,,
2011-10-22,Buffalo Sabres,0,Tampa Bay Lightning,3,,19204,,
2011-10-22,Minnesota Wild,2,Vancouver Canucks,3,OT,18860,,
2011-10-22,Carolina Hurricanes,3,Winnipeg Jets,5,,15004,,
2011-10-22,Detroit Red Wings,1,Washington Capitals,7,,18506,,
2011-10-23,Phoenix Coyotes,5,Anaheim Ducks,4,,13240,,
2011-10-24,Florida Panthers,2,Montreal Canadiens,1,,21273,,
2011-10-24,Toronto Maple Leafs,2,Philadelphia Flyers,4,,19569,,
2011-10-24,New York Rangers,2,Winnipeg Jets,1,,15004,,
2011-10-25,Tampa Bay Lightning,4,Buffalo Sabres,3,,18690,,
2011-10-25,Ottawa Senators,3,Carolina Hurricanes,2,SO,12083,,
2011-10-25,Detroit Red Wings,1,Columbus Blue Jackets,4,,15100,,
2011-10-25,Anaheim Ducks,2,Chicago Blackhawks,3,SO,21247,,
2011-10-25,Vancouver Canucks,2,Edmonton Oilers,3,,16839,,
2011-10-25,New Jersey Devils,3,Los Angeles Kings,0,,18118,,
2011-10-25,San Jose Sharks,3,Nashville Predators,1,,15121,,
2011-10-25,Pittsburgh Penguins,3,New York Islanders,0,,10681,,
2011-10-25,Dallas Stars,3,Phoenix Coyotes,2,SO,6948,,
2011-10-26,Colorado Avalanche,2,Calgary Flames,4,,19289,,
2011-10-26,Philadelphia Flyers,1,Montreal Canadiens,5,,21273,,
2011-10-26,St. Louis Blues,3,Vancouver Canucks,0,,18860,,
2011-10-27,Montreal Canadiens,2,Boston Bruins,1,,17565,,
2011-10-27,Columbus Blue Jackets,2,Buffalo Sabres,4,,18690,,
2011-10-27,Los Angeles Kings,5,Dallas Stars,3,,8443,,
2011-10-27,Washington Capitals,1,Edmonton Oilers,2,,16839,,
2011-10-27,Anaheim Ducks,3,Minnesota Wild,2,,15723,,
2011-10-27,Tampa Bay Lightning,3,Nashville Predators,5,,16619,,
2011-10-27,Toronto Maple Leafs,4,New York Rangers,2,,18200,,
2011-10-27,Florida Panthers,3,Ottawa Senators,4,,18165,,
2011-10-27,Winnipeg Jets,9,Philadelphia Flyers,8,,19588,,
2011-10-27,New Jersey Devils,3,Phoenix Coyotes,5,,7434,,
2011-10-27,New York Islanders,2,Pittsburgh Penguins,3,SO,18461,,
2011-10-28,Chicago Blackhawks,0,Carolina Hurricanes,3,,16056,,
2011-10-28,St. Louis Blues,1,Calgary Flames,3,,19289,,
2011-10-28,Edmonton Oilers,3,Colorado Avalanche,1,,15057,,
2011-10-28,San Jose Sharks,4,Detroit Red Wings,2,,20066,,
2011-10-29,Florida Panthers,3,Buffalo Sabres,2,,18690,,
2011-10-29,Columbus Blue Jackets,2,Chicago Blackhawks,5,,21114,,
2011-10-29,New Jersey Devils,1,Dallas Stars,3,,11740,,
2011-10-29,Detroit Red Wings,0,Minnesota Wild,1,,17233,,
2011-10-29,Boston Bruins,2,Montreal Canadiens,4,,21273,,
2011-10-29,Anaheim Ducks,0,Nashville Predators,3,,16395,,
2011-10-29,San Jose Sharks,3,New York Islanders,2,OT,11742,,
2011-10-29,Ottawa Senators,5,New York Rangers,4,SO,18200,,
2011-10-29,Carolina Hurricanes,1,Philadelphia Flyers,5,,19683,,
2011-10-29,Los Angeles Kings,2,Phoenix Coyotes,3,OT,10379,,
2011-10-29,Winnipeg Jets,0,Tampa Bay Lightning,1,,19204,,
2011-10-29,Pittsburgh Penguins,3,Toronto Maple Leafs,4,,19526,,
2011-10-29,Washington Capitals,4,Vancouver Canucks,7,,18860,,
