,team,season,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,penalitiesFor,penalitiesAgainst,confFinal
0,CHI,2009,Team Level,other,82,0.52,0.59,0.59,10647.0,185.88,24.34,12.05,37.14,6.47,94.79,78.2,22.96,24.34,22.96,193.0,60.0,86.0,339.0,21.0,12.0,2.0,42.0,10.0,83.0,85.0,172.0,232.0,10.0,23.0,159.0,44.0,27.0,26.0,166.0,56.0,31.0,6.03,6.98,11.34,5.0,6.0,10.0,339.0,253.0,253.0,9.0,3.45,2.89,2.95,24.84,24.84,23.74,130.51,22.47,9.23,24.05,4.24,65.55,50.45,21.36,22.47,21.36,125.0,51.0,63.0,239.0,17.0,8.0,1.0,26.0,2.0,58.0,65.0,108.0,159.0,18.0,47.0,149.0,42.0,32.0,20.0,97.0,48.0,31.0,3.29,5.86,13.32,4.0,3.0,10.0,239.0,176.0,176.0,11.0,2.64,2.45,2.85,22.26,22.26,21.28,,,yes
1,CHI,2009,Team Level,all,82,0.57,0.56,0.57,300754.0,2734.11,248.64,186.06,596.08,88.41,1511.77,1150.05,240.59,251.38,243.28,2799.0,982.0,1198.0,4979.0,262.0,156.0,59.0,635.0,89.0,1160.0,1479.0,2537.0,3519.0,340.0,834.0,2340.0,1555.0,683.0,550.0,2813.0,755.0,213.0,82.13,90.43,76.09,77.0,96.0,89.0,5078.79,3781.0,3842.43,321.0,41.18,40.77,42.96,246.86,249.6,244.82,2033.46,190.17,140.55,451.26,67.44,1112.8,833.03,183.79,188.7,182.39,2058.0,741.0,1067.0,3866.0,203.0,142.0,40.0,427.0,56.0,852.0,1120.0,1855.0,2596.0,376.0,878.0,2126.0,1901.0,554.0,515.0,2055.0,567.0,177.0,61.67,69.77,58.73,69.0,72.0,62.0,3797.0,2799.0,2758.97,313.0,31.28,31.31,33.12,188.14,186.69,182.9,,,yes
2,CHI,2009,Team Level,5on5,82,0.57,0.57,0.58,238538.0,2086.31,167.55,135.0,472.68,67.31,1156.11,892.35,163.3,170.29,165.98,2145.0,746.0,894.0,3785.0,178.0,107.0,43.0,502.0,65.0,873.0,1166.0,1967.0,2713.0,284.0,713.0,1697.0,1377.0,533.0,442.0,2197.0,578.0,116.0,64.94,68.28,34.33,60.0,74.0,44.0,3884.79,2891.0,2952.43,267.0,27.73,25.49,27.97,167.31,170.05,167.84,1532.86,127.88,99.86,352.1,50.16,835.18,642.09,124.86,126.41,123.46,1558.0,553.0,799.0,2910.0,149.0,97.0,32.0,336.0,49.0,609.0,872.0,1409.0,1962.0,321.0,751.0,1571.0,1714.0,444.0,420.0,1594.0,414.0,103.0,49.12,50.81,27.96,59.0,54.0,36.0,2841.0,2111.0,2070.97,267.0,20.62,20.3,22.11,126.19,124.74,123.47,,,yes
3,CHI,2009,Team Level,4on5,82,0.21,0.15,0.17,24958.0,73.79,9.45,3.94,9.08,1.99,21.13,51.4,9.35,9.45,9.35,77.0,20.0,13.0,110.0,13.0,2.0,0.0,10.0,6.0,12.0,54.0,64.0,84.0,18.0,36.0,195.0,80.0,94.0,40.0,55.0,27.0,15.0,1.6,3.56,4.29,1.0,9.0,3.0,110.0,97.0,97.0,38.0,0.92,0.77,0.77,9.59,9.59,9.58,330.57,36.39,29.7,69.52,11.91,200.38,112.1,34.2,36.39,34.2,338.0,122.0,187.0,647.0,34.0,34.0,7.0,60.0,4.0,177.0,151.0,304.0,426.0,19.0,38.0,222.0,48.0,17.0,44.0,327.0,94.0,39.0,8.16,11.83,16.4,6.0,12.0,16.0,647.0,460.0,460.0,6.0,7.61,7.92,7.53,36.46,36.46,34.94,,,yes
4,CHI,2009,Team Level,5on4,82,0.93,0.91,0.91,26611.0,388.12,47.29,35.06,77.17,12.63,239.73,128.11,44.98,47.29,44.98,384.0,156.0,205.0,745.0,50.0,35.0,14.0,81.0,8.0,192.0,174.0,334.0,490.0,28.0,62.0,289.0,54.0,29.0,42.0,395.0,94.0,51.0,9.56,11.6,26.12,11.0,7.0,32.0,745.0,540.0,540.0,7.0,9.09,11.62,11.27,45.11,45.11,43.66,39.52,3.44,1.75,5.59,1.13,11.69,28.39,3.38,3.44,3.38,37.0,15.0,18.0,70.0,3.0,3.0,0.0,5.0,1.0,8.0,32.0,34.0,49.0,18.0,42.0,184.0,97.0,61.0,31.0,37.0,11.0,4.0,1.11,1.27,1.06,0.0,3.0,0.0,70.0,52.0,52.0,29.0,0.41,0.63,0.63,3.22,3.22,3.22,,,yes
5,PHI,2009,Team Level,other,82,0.55,0.54,0.54,15968.0,176.48,28.67,12.42,32.62,5.7,90.27,70.31,27.1,28.67,27.1,162.0,78.0,75.0,315.0,24.0,12.0,4.0,38.0,4.0,86.0,76.0,138.0,216.0,15.0,33.0,175.0,55.0,34.0,32.0,140.0,61.0,39.0,4.88,7.22,16.58,5.0,3.0,16.0,315.0,240.0,240.0,21.0,3.46,3.44,3.44,28.7,28.7,27.44,144.98,23.48,10.3,28.19,5.04,78.62,56.37,22.08,23.48,22.08,139.0,63.0,70.0,272.0,18.0,10.0,4.0,30.0,5.0,64.0,75.0,121.0,184.0,15.0,36.0,173.0,63.0,26.0,29.0,126.0,47.0,29.0,4.22,5.89,13.37,2.0,3.0,13.0,272.0,202.0,202.0,13.0,2.94,3.5,3.79,22.63,22.63,22.05,,,yes
6,PHI,2009,Team Level,all,82,0.53,0.51,0.52,298160.0,2599.36,255.08,180.19,580.91,83.89,1402.98,1086.95,245.23,255.59,245.76,2589.0,1001.0,1199.0,4789.0,232.0,204.0,49.0,589.0,88.0,1111.0,1366.0,2357.0,3358.0,487.0,1260.0,2415.0,1807.0,559.0,664.0,2614.0,713.0,263.0,77.99,86.85,90.24,64.0,76.0,92.0,4801.21,3590.0,3598.04,436.0,40.17,47.75,48.9,246.35,247.0,241.29,2357.98,226.61,157.36,528.95,76.32,1292.35,988.47,218.14,227.17,218.65,2348.0,923.0,1254.0,4525.0,222.0,180.0,49.0,540.0,77.0,1025.0,1227.0,2126.0,3049.0,474.0,1197.0,2408.0,1686.0,615.0,683.0,2452.0,577.0,242.0,70.15,69.32,87.15,61.0,68.0,93.0,4516.98,3271.0,3268.43,422.0,35.03,43.84,44.41,217.18,217.46,212.13,,,yes
7,PHI,2009,Team Level,5on5,82,0.52,0.51,0.52,223027.0,1898.83,162.38,124.6,444.61,61.18,1019.6,807.62,157.63,162.89,158.17,1889.0,731.0,882.0,3502.0,141.0,146.0,30.0,443.0,64.0,800.0,1026.0,1748.0,2479.0,426.0,1122.0,1711.0,1615.0,423.0,506.0,1971.0,501.0,148.0,59.59,61.1,41.69,47.0,53.0,41.0,3514.2,2620.0,2628.04,348.0,25.76,30.92,31.22,156.91,157.55,155.23,1774.31,147.45,112.25,414.13,56.52,962.56,760.15,143.99,147.99,144.5,1782.0,672.0,918.0,3372.0,143.0,138.0,35.0,433.0,56.0,736.0,948.0,1639.0,2311.0,419.0,1076.0,1676.0,1489.0,469.0,525.0,1884.0,429.0,141.0,55.4,51.45,40.6,47.0,49.0,47.0,3363.98,2454.0,2451.43,347.0,23.11,30.65,31.35,139.14,139.42,137.94,,,yes
8,PHI,2009,Team Level,4on5,82,0.1,0.13,0.15,30264.0,67.48,5.74,3.07,8.36,1.97,18.57,60.29,5.52,5.74,5.52,73.0,25.0,20.0,118.0,5.0,3.0,1.0,10.0,1.0,16.0,63.0,68.0,93.0,20.0,48.0,233.0,84.0,80.0,62.0,74.0,19.0,5.0,2.04,2.31,1.39,0.0,3.0,2.0,118.0,98.0,98.0,58.0,0.71,0.67,0.67,5.78,5.78,5.73,391.35,52.15,32.91,80.15,12.8,238.54,129.46,48.53,52.15,48.53,371.0,175.0,245.0,791.0,54.0,31.0,10.0,71.0,14.0,214.0,162.0,317.0,492.0,23.0,48.0,307.0,45.0,30.0,67.0,386.0,94.0,66.0,9.16,11.22,31.76,10.0,15.0,29.0,791.0,546.0,546.0,6.0,8.54,9.67,9.24,51.44,51.44,48.18,,,yes
9,PHI,2009,Team Level,5on4,82,0.94,0.9,0.9,28901.0,456.58,58.29,40.1,95.31,15.03,274.54,148.74,54.98,58.29,54.98,465.0,167.0,222.0,854.0,62.0,43.0,14.0,98.0,19.0,209.0,201.0,403.0,570.0,26.0,57.0,296.0,53.0,22.0,64.0,429.0,132.0,71.0,11.49,16.22,30.57,12.0,17.0,33.0,854.0,632.0,632.0,9.0,10.25,12.72,13.57,54.96,54.96,52.89,47.34,3.55,1.89,6.48,1.95,12.64,42.49,3.54,3.55,3.54,56.0,13.0,21.0,90.0,7.0,1.0,0.0,6.0,2.0,11.0,42.0,49.0,62.0,17.0,37.0,252.0,89.0,90.0,62.0,56.0,7.0,6.0,1.36,0.76,1.42,2.0,1.0,4.0,90.0,69.0,69.0,56.0,0.45,0.02,0.02,3.97,3.97,3.96,,,yes
