team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
EDM,2023,EDM,EDM,Team Level,other,17,0.56,0.57,0.58,2795.0,40.94,7.58,3.19,7.61,1.41,23.38,12.83,7.29,7.58,7.29,41.0,15.0,13.0,69.0,6.0,4.0,2.0,3.0,0.0,24.0,19.0,35.0,50.0,1.0,2.0,26.0,6.0,11.0,9.0,35.0,10.0,11.0,1.41,1.23,4.94,1.0,1.0,4.0,69.0,56.0,56.0,4.0,0.92,1.43,1.43,7.07,7.07,6.98,28.94,5.98,2.07,5.38,1.09,15.03,10.46,5.58,5.98,5.58,29.0,11.0,13.0,53.0,8.0,1.0,0.0,1.0,1.0,12.0,17.0,21.0,32.0,2.0,2.0,36.0,7.0,5.0,10.0,20.0,11.0,9.0,0.79,1.27,3.91,2.0,2.0,4.0,53.0,40.0,40.0,5.0,0.6,0.24,0.24,6.34,6.34,5.94
EDM,2023,EDM,EDM,Team Level,all,17,0.54,0.55,0.54,61610.0,604.52,61.16,42.4,143.45,20.38,321.26,231.35,58.52,60.95,58.33,578.0,242.0,313.0,1133.0,50.0,69.0,11.0,47.0,2.0,381.0,271.0,528.0,770.0,78.0,177.0,541.0,352.0,138.0,169.0,593.0,157.0,70.0,18.0,19.37,23.79,18.0,15.0,17.0,1127.06,820.0,818.09,90.0,9.47,15.23,15.27,55.36,55.25,54.01,501.26,52.6,34.0,119.78,16.73,268.78,193.12,50.99,53.07,51.44,496.0,189.0,226.0,911.0,66.0,44.0,11.0,42.0,5.0,296.0,232.0,430.0,619.0,76.0,171.0,552.0,352.0,133.0,160.0,486.0,138.0,61.0,14.4,16.9,21.31,21.0,20.0,25.0,922.02,685.0,692.31,97.0,7.62,9.26,9.26,50.96,51.33,50.2
EDM,2023,EDM,EDM,Team Level,5on5,17,0.56,0.57,0.55,48238.0,461.21,41.88,30.97,115.66,15.61,242.12,179.75,40.17,41.67,39.97,439.0,187.0,250.0,876.0,30.0,58.0,7.0,39.0,2.0,301.0,196.0,409.0,596.0,65.0,151.0,420.0,330.0,114.0,139.0,454.0,128.0,44.0,13.72,15.97,12.19,14.0,12.0,4.0,870.06,626.0,624.09,78.0,6.47,11.51,11.55,36.81,36.7,36.0,377.56,33.18,24.25,94.54,12.36,199.63,149.03,32.42,33.64,32.86,377.0,136.0,160.0,673.0,39.0,37.0,9.0,35.0,4.0,220.0,178.0,338.0,474.0,64.0,149.0,411.0,321.0,110.0,130.0,377.0,103.0,33.0,11.17,12.81,9.2,12.0,14.0,13.0,684.02,513.0,520.31,85.0,5.04,6.49,6.49,31.73,32.1,31.72
EDM,2023,EDM,EDM,Team Level,4on5,17,0.08,0.14,0.16,5583.0,17.46,1.1,0.67,2.62,0.5,5.01,12.11,1.1,1.1,1.1,16.0,6.0,6.0,28.0,1.0,0.0,0.0,0.0,0.0,3.0,18.0,15.0,21.0,3.0,6.0,42.0,12.0,9.0,8.0,18.0,2.0,2.0,0.41,0.24,0.44,0.0,0.0,1.0,28.0,22.0,22.0,7.0,0.15,0.0,0.0,1.25,1.25,1.25,85.09,12.3,7.13,18.42,2.99,51.0,27.17,11.86,12.3,11.86,81.0,38.0,51.0,170.0,17.0,6.0,2.0,5.0,0.0,61.0,30.0,64.0,102.0,6.0,12.0,66.0,15.0,4.0,14.0,79.0,24.0,16.0,2.16,2.82,7.33,6.0,4.0,7.0,170.0,119.0,119.0,2.0,1.85,2.54,2.54,11.62,11.62,11.27
EDM,2023,EDM,EDM,Team Level,5on4,17,0.9,0.91,0.9,4994.0,84.91,10.61,7.57,17.56,2.86,50.75,26.66,9.97,10.61,9.97,82.0,34.0,44.0,160.0,13.0,7.0,2.0,5.0,0.0,53.0,38.0,69.0,103.0,9.0,18.0,53.0,4.0,4.0,13.0,86.0,17.0,13.0,2.47,1.92,6.21,3.0,2.0,8.0,160.0,116.0,116.0,1.0,1.92,2.29,2.29,10.23,10.23,9.79,9.67,1.14,0.55,1.43,0.29,3.13,6.47,1.14,1.14,1.14,9.0,4.0,2.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,7.0,7.0,11.0,4.0,8.0,39.0,9.0,14.0,6.0,10.0,0.0,3.0,0.28,0.0,0.86,1.0,0.0,1.0,15.0,13.0,13.0,5.0,0.12,0.0,0.0,1.27,1.27,1.27
NYI,2023,NYI,NYI,Team Level,other,17,0.37,0.49,0.48,2952.0,35.28,5.0,2.34,6.86,1.3,18.52,14.98,4.72,5.0,4.72,35.0,14.0,16.0,65.0,3.0,3.0,1.0,1.0,0.0,20.0,22.0,32.0,46.0,4.0,8.0,38.0,4.0,4.0,9.0,35.0,7.0,7.0,1.24,0.77,3.0,0.0,1.0,2.0,65.0,49.0,49.0,6.0,0.62,0.77,0.77,4.85,4.85,4.61,38.27,8.37,2.51,7.11,1.36,18.72,14.93,7.79,8.37,7.79,41.0,12.0,16.0,69.0,11.0,3.0,0.0,5.0,0.0,15.0,19.0,30.0,42.0,2.0,4.0,28.0,7.0,6.0,10.0,31.0,12.0,10.0,1.2,1.39,5.79,2.0,3.0,6.0,69.0,53.0,53.0,3.0,0.75,0.69,0.05,9.07,9.07,8.48
NYI,2023,NYI,NYI,Team Level,all,17,0.46,0.47,0.47,62254.0,558.36,51.09,37.03,138.03,19.13,296.36,219.36,48.51,51.43,48.87,526.0,235.0,273.0,1034.0,43.0,63.0,8.0,25.0,2.0,339.0,289.0,483.0,718.0,67.0,142.0,517.0,331.0,126.0,146.0,577.0,126.0,58.0,15.56,16.09,19.44,18.0,9.0,16.0,1043.77,761.0,768.58,66.0,8.22,14.03,14.03,45.28,45.58,44.33,623.28,60.39,41.68,153.51,21.1,329.74,245.58,57.75,60.02,57.4,601.0,251.0,333.0,1185.0,55.0,62.0,2.0,38.0,1.0,375.0,321.0,546.0,797.0,57.0,120.0,479.0,261.0,122.0,149.0,643.0,141.0,68.0,17.49,18.01,24.9,18.0,20.0,17.0,1172.44,852.0,842.72,64.0,9.3,10.4,10.8,58.89,58.54,56.91
NYI,2023,NYI,NYI,Team Level,5on5,17,0.49,0.47,0.48,50487.0,444.65,36.91,28.45,114.68,15.43,234.43,177.12,34.95,37.25,35.3,414.0,193.0,221.0,828.0,26.0,55.0,3.0,21.0,2.0,271.0,232.0,388.0,581.0,56.0,120.0,380.0,314.0,105.0,119.0,463.0,104.0,40.0,12.38,13.58,10.94,15.0,5.0,6.0,837.77,607.0,614.58,50.0,5.94,10.22,10.22,32.63,32.94,32.16,487.09,38.78,30.96,125.93,16.52,258.8,196.02,37.26,38.4,36.91,464.0,203.0,277.0,944.0,28.0,52.0,1.0,30.0,1.0,297.0,259.0,436.0,639.0,51.0,108.0,371.0,244.0,103.0,129.0,521.0,107.0,39.0,13.93,13.65,11.2,14.0,11.0,3.0,931.44,667.0,657.72,58.0,6.39,8.8,9.2,35.96,35.61,35.0
NYI,2023,NYI,NYI,Team Level,4on5,17,0.09,0.07,0.09,4879.0,8.94,1.22,0.46,1.23,0.25,2.47,5.37,1.19,1.22,1.19,9.0,2.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,8.0,0.0,0.0,46.0,8.0,13.0,8.0,6.0,3.0,2.0,0.13,0.41,0.68,0.0,2.0,1.0,11.0,11.0,11.0,7.0,0.11,0.0,0.0,1.33,1.33,1.29,85.22,12.56,7.71,18.15,2.79,48.13,25.67,12.01,12.56,12.01,81.0,34.0,39.0,154.0,16.0,7.0,1.0,3.0,0.0,55.0,34.0,65.0,99.0,3.0,6.0,42.0,2.0,5.0,7.0,75.0,22.0,18.0,1.87,2.97,7.71,2.0,6.0,8.0,154.0,115.0,115.0,1.0,2.03,0.9,1.55,13.04,13.04,12.63
NYI,2023,NYI,NYI,Team Level,5on4,17,0.92,0.88,0.85,3936.0,69.5,7.96,5.78,15.27,2.16,40.95,21.88,7.67,7.96,7.67,68.0,26.0,36.0,130.0,11.0,5.0,4.0,3.0,0.0,47.0,28.0,57.0,83.0,7.0,14.0,53.0,5.0,4.0,10.0,73.0,12.0,9.0,1.8,1.33,4.83,3.0,1.0,7.0,130.0,94.0,94.0,3.0,1.55,3.04,3.04,6.47,6.47,6.26,12.71,0.69,0.5,2.32,0.43,4.09,8.97,0.69,0.69,0.69,15.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,15.0,17.0,1.0,2.0,38.0,8.0,8.0,3.0,16.0,0.0,1.0,0.49,0.0,0.2,0.0,0.0,0.0,18.0,17.0,17.0,2.0,0.12,0.0,0.0,0.81,0.81,0.8
